  76 reproducibility	probability
   3 of	live
   3 of	judgments
   3 of	hypothesis
   3 of	evaluations
   3 of	errant
   3 of	comparing
   3 of	at
   3 of	an
   3 of	896
   3 not	the
   3 not	require
   3 not	relevant
   3 not	be
   3 nearly	all
   3 much	larger
   3 more	reliable
   3 more	queries
   3 missed	conclusions
   3 methodology	to
   3 maximum	number
   3 martini	2006
   3 manual	web
   3 manual	samples
   3 manual	queries
   3 manual	judgment
   3 lower	one
   3 list	of
   3 leverage	the
   3 less	effort
   3 least	90
   3 just	as
   3 judgments	are
   3 judgments	alone
   3 is	that
   3 is	computationally
   3 interested	in
   3 in	their
   3 in	that
   3 in	general
   3 hypothesized	that
   3 hypothesize	that
   3 hypothesis	and
   3 however	these
   3 have	high
   3 has	been
   3 has	a
   3 greater	than
   3 from	small
   3 from	our
   3 from	each
   3 from	any
   3 from	all
   3 framework	and
   3 found	with
   3 for	which
   3 for	our
   3 for	information
   3 for	comparing
   3 for	bootstrap
   3 focuses	on
   3 focus	only
   3 focus	on
   3 finding	the
   3 figure	5
   3 false	positives
   3 false	positive
   3 experimentation	we
   3 even	the
   3 evaluations	that
   3 evaluation	the
   3 evaluated	the
   3 estimating	the
   3 estimating	reliability
   3 estimates	in
   3 estimates	for
   3 estimates	are
   3 estimate	the
   3 errors	in
   3 error	for
   3 error	bars
   3 equation	3
   3 equation	2
   3 environments	such
   3 ensure	this
   3 ensure	reliability
   3 engines	can
   3 engines	by
   3 engines	across
   3 engine	pairs
   3 engine	pair
   3 engine	over
   3 effort	to
   3 effort	than
   3 effort	required
   3 each	bootstrap
   3 e10	and
   3 e	m
   3 documents	from
   3 documents	and
   3 difference	between
   3 developed	in
   3 determining	the
   3 described	in
   3 derived	from
   3 depend	on
   3 denoted	as
   3 defined	as
   3 cost	function
   3 correlation	of
   3 consisting	of
   3 conclusions	they
   3 conclusions	than
   3 conclusions	on
   3 conclusions	for
   3 conclusions	at
   3 conclusions	as
   3 comparing	conclusions
